fatalities,date,location,carrier,flight,type
143,2000-08-23,"Off Manama, Behrain",Gulf Air,072,A320
143,2005-09-05,"Medan, Indonesia",Mandala Airlines,091,B737
141,1996-08-29,"Spitsbergen, Norway",Vnokovo Airlines,2801,TU154
141,1995-12-18,"Kahengula, Angola",Trans Service Airlift,,L188C
141,1992-11-24,"Liutang, Guangxi, China",China Southern Airlines,3943,B737
140,2003-12-25,"Cotonou, Benin",UTA,141,B727
137,1982-06-08,"Near Pacatuba, Brazil",VASP,168,B727
135,1985-08-02,"Ft. Worth-Dallas, Texas",Delta Air Lines,191,L1011
134,1960-12-16,"Staten Island/Brooklyn, New York",United Air Lines / TWA,826/266,DC8 / L1049
133,1966-02-04,"Tokyo Bay, Japan",All Nippon Airways,60,B727
133,1993-02-08,"Tehran, Iran",Iran Air/Air Force,,TU154M
